TF,Target,Correlation
LINC02607,TRHDE-AS1,0.5432062296213136
MALAT1,MT-CO1,-0.5427493785817603
LINC02006,GPM6A,0.5425505051718882
LINC02607,GYG2,0.5425131754187139
LINC02607,CIDEA,0.5419663480443532
LRP2,SEMA3C,0.5419271450646733
SLC4A4,GPM6A,0.5418614781104932
MLXIPL,CIDEA,0.5417011441268098
SLC4A4,SLIT3,0.5414906891318209
GRIP1,RBFOX1,0.5412282017990927
BNC2,HAS1,0.5411515398383865
ADIPOQ,PLIN4,0.541035786812809
LINC02006,BNC2,0.5405420698355725
CIDEC,GPAM,0.5401735809097378
BNC1,HAS1,0.539912942002309
LSAMP,PTPRQ,0.539809788285145
AQP7,GPAM,0.5393092828086569
LOC105379003,TBX5,0.5388775648601507
F13A1,MRC1,0.5388379923925077
BNC2,RBFOX1,0.5386975884171749
LVRN,GYG2,0.5386096892610626
SEMA3C,BNC1,0.5385392774954599
BNC1,ZBTB7C,0.5384456572779694
TTN,LOC105379003,0.5384052182378968
CDON,RBFOX1,0.5382694565735451
KANK4,ADIPOQ,0.5382081538849349
SLC4A4,ROR2,0.5380096925142451
ABCA9,ABCA6,0.5378837125071684
MS4A6A,MS4A4E,0.5376534697920823
RYR2,LOC105379003,0.5374920225018162
RBFOX1,C3,0.5374606790040144
ITLN1,PRG4,0.5369890983257533
LPL,PLIN1,0.5368322665494528
EZR,BNC2,0.536799840939654
LINC02607,PFKFB1,0.5361224899759208
DLGAP2,ANXA8,0.5360791709780333
FGF12,LINC02248,0.5357442737006637
SULF1,MCTP2,0.535562955003349
CCDC80,C3,0.5354729272625659
CADPS,RBM20,0.5354072558082882
LRP2,MCTP2,0.5353688864440078
SULF1,ZBTB7C,0.5351543711574609
EZR,HAS1,0.5349607876428567
LRP2,CDON,0.5348919311529876
RBM20,LINC02248,0.5347832318857981
PRG4,LINC02006,0.5341923993541597
OR4F15,LINC00229,0.5335842368999361
CHRM2,TBX5,0.5334164710788114
EZR,C3,0.5333961547819022
VWF,PTPRB,0.5331914205178541
EZR,SULF1,0.5330503797614644
LINC02006,SLC4A4,0.5328755629720278
NTNG1,BNC2,0.5328717284073328
EPHA3,FGF14,0.5327317439518128
MYRIP,LINC02388,0.53270097175685
DPP6,ZBTB7C,0.5322872136011049
DKK2,LINC00639,0.5320810023255286
CDON,HAS1,0.5319040461466332
PRG4,ROR2,0.5316981306152547
SEMA3C,RBFOX1,0.5315655245904326
PRG4,CCDC80,0.5313092263238832
SLC4A4,HAS1,0.5312506249706912
ZBTB7C,HAS1,0.5310545506407008
NTNG1,SLC4A4,0.5310457439769962
ZNF385B,CADPS,0.530966498092601
GLYAT,PLIN1,0.5309354713708627
SLC4A4,EZR,0.5308127078421855
PRG4,ARHGAP44,0.5305914998368872
MYRIP,PCDH7,0.5304183066946996
ANXA8,ARHGAP44,0.5301815085714011
LVRN,GPD1,0.5300381002572317
FGF12,LDB3,0.5297288088944104
CADPS,LINC02248,0.5295252016830518
LTBP1,LAMA2,0.529480881562148
CDON,PTPRQ,0.5292881293793202
EMCN,LINC02388,0.529218235821956
CADPS,TBX5,0.5290852500445173
EMCN,EGFL7,0.5286506793435853
LSAMP,BNC1,0.5285674612681927
MLIP,CHRM2,0.5285373433118565
ZNF385B,FGF12,0.5284947671150526
SEMA3C,C3,0.5284758034314551
NPR3,ADAMTSL1,0.5284137060703259
SEMA3C,PTPRQ,0.5281040448799728
DPP6,ROR2,0.5280773663022005
TRARG1,GYG2,0.5280281622088095
LSAMP,SEMA3C,0.5276364154851658
EGFL7,PTPRB,0.5275636472663129
TRHDE-AS1,GYG2,0.5275269438721709
ROR1,RBFOX1,0.5274818393513239
MCTP2,RBFOX1,0.5272792506971883
LOC105379003,MLIP,0.5270687789606064
CCDC80,BNC2,0.5270337370015219
ABI3BP,BICC1,0.526848665350272
CIDEC,GPD1,0.5267831308363586
SLIT3,C3,0.5267816168662466
EZR,CDON,0.5263610364173803
UNC5C,EBF2,0.5261999487756828
SLIT3,BNC2,0.5260090557383236
GPM6A,BNC1,0.5260069832408129
NRG1,POSTN,0.5257450760120654
NEGR1,EBF2,0.5250826556537151
EZR,BNC1,0.5250566503042475
RYR2,RBM20,0.5249164017949939
PTPRQ,BNC1,0.5244984729870822
ROR2,PTPRQ,0.5244842901823872
NTNG1,DPP6,0.5243941459659885
DPP6,HAS1,0.5243392287902496
LVRN,MLXIPL,0.5241343844721732
CADPS,MLIP,0.524128437260476
SLC4A4,SLC24A3,0.5240963278783053
LRP2,PTPRQ,0.524022272552588
LSAMP,DPP6,0.5237170641602193
EZR,ZBTB7C,0.5236733837909503
SYK,CYBB,0.5236477185870159
SLC39A8,ANXA8,0.5234892777119435
PTPRQ,MCTP2,0.5234101171752795
GPM6A,RBFOX1,0.5227773332060949
ZNF385B,LINC02248,0.5225290650228562
ITLN1,SULF1,0.5224516648453134
CHRM3,DPP6,0.5224391173953017
PLIN1,LIPE,0.5220120775639456
ABCA6,ABCA10,0.5216861051291631
NEGR1,UNC5C,0.5215949819810514
LAMA2,PXDNL,0.5212947222856887
EZR,DPP6,0.5210042088931425
SLC19A3,LVRN,0.5207483247881259
RYR2,LINC02248,0.5205652094429448
LRP2,C3,0.5201471082338184
LOC105379003,MYBPC3,0.5201287089729292
LRP2,GPM6A,0.5201114352101026
DPP6,ARHGAP44,0.5200764552106755
SLIT3,PTPRQ,0.5200708791132979
SLC19A3,TRHDE-AS1,0.5199799068354528
ROR2,C3,0.5198199474660742
GPAM,PDE3B,0.5197609215316217
PTPRQ,C3,0.5197558750330212
FYB2,BNC1,0.5197096827672341
CACNA2D3,SLC4A4,0.519584591766622
FGF12,MYBPC3,0.5194932132451213
GPD1,PLIN4,0.5194147416689829
NTNG1,BNC1,0.5191635949777309
GPM6A,CDON,0.5191593978846228
MCTP2,ZBTB7C,0.519055427035804
GPM6A,MCTP2,0.518952494335409
ADIPOQ,LINC02237,0.5183501618157274
SLIT3,SEMA3C,0.5178954030534215
SLC19A3,PLIN4,0.5178815234101156
LINC02006,MCTP2,0.5178407071012868
ANXA8,GRIP1,0.5174224227002964
EMCN,PTPRB,0.5172095719174895
CIDEC,CIDEA,0.5171239096516291
ANXA8,WT1,0.5170486042433712
EFNA5,SLIT3,0.5170177419180734
PLIN4,GYG2,0.5169631351479342
PCDH7,CGNL1,0.5166663759161253
CHRM2,MYBPC3,0.5165924930241476
COL24A1,UNC5C,0.5164097607287896
SLC4A4,ARHGAP44,0.5163241414824035
TTN,CADPS,0.5160929278730133
NEGR1,DCN,0.516087673834112
KANK4,SLC19A3,0.5159616808543225
ACVR1C,PLIN1,0.5158766262324609
CHRM2,MYO18B,0.5158651034533297
LOC105379003,LDB3,0.5157087902211549
FYB2,LRP2,0.51563526712068
PLIN1,SGK2,0.5156181424781555
SLIT3,CDON,0.5156126015663118
SLIT2,BICC1,0.5155054613618351
SLC4A4,EFNA5,0.5154796427767367
LINC02607,MLXIPL,0.515430263011828
RBFOX1,HAS1,0.5153430391781195
CACNA2D3,RBFOX1,0.5152983890718918
PCDH7,EMCN,0.5150734668176027
TTN,ZNF385B,0.5148720083709075
SLIT3,ROR2,0.5148343596317114
SEMA3C,MCTP2,0.5145680039936603
CHRM2,LDB3,0.5145444026032294
DPP6,SYT1-AS1,0.51419792912206
LINC02006,BNC1,0.5140289388587755
CADPS,MYO18B,0.5139933327832547
RYR2,CHRM2,0.5139414569513496
BNC2,ROR2,0.5137679978701444
KCNT2,ANXA8,0.5137226411676765
MARCHF1,ANXA8,0.5136091963173346
PRG4,SYT1-AS1,0.5135926102843719
PECR,GPAM,0.5130811908017047
LVRN,TRARG1,0.5130061163517217
IFNG,S1PR5,0.5126491869185055
LPL,GPAM,0.5125994828254383
CALCRL,EMCN,0.5124498000986651
FCRL2,FCRL1,0.512412442787316
NEGR1,ABCA10,0.5122641604963306
SYK,MS4A6A,0.5121651810439547
LINC02237,GPAM,0.5121504431766348
SULF1,HAS1,0.5120427069950794
SLIT3,ANXA8,0.5119020270870844
COL24A1,EBF2,0.5117861889920172
PRG4,SLIT3,0.5117645655552618
CACNA2D3,BNC2,0.511622833643996
SCN7A,EPHA3,0.5116025966771852
SLC4A4,PDGFC,0.511348500358421
SLC39A8,PTPRQ,0.5113054423047244
TRHDE-AS1,TRARG1,0.5112487083604005
TRARG1,PFKFB1,0.5110366686253695
NOSTRIN,LINC02388,0.511002986174902
TTN,TECRL,0.5109993781001447
NPPB,MT-CO1,0.5107435414461082
FGF12,TBX5,0.5105632168883372
CIDEC,TRARG1,0.5104791553052528
ADIPOQ,AQP7,0.5104328840817696
KLB,GPAM,0.5104233502649769
CADPS,SYNPR,0.5103966444312796
ANXA8,ALOX15,0.5103640416957742
SLC8A1,TTN,0.5101551741769983
ZNF385B,MLIP,0.5101439299222646
LOC124901051,CDH11,0.5100698839454118
KCNT2,FLRT2,0.5100418302537599
SYT1-AS1,PTPRQ,0.5100393532279051
NRG1,CDH11,0.5099426814383443
TECRL,LOC105379003,0.5098992747370239
ITLN1,BNC2,0.5097963566029784
CADPS,LDB3,0.5097230668256494
TECRL,CHRM2,0.5096849665377376
LINC02006,CDON,0.5095453438401565
ADAMTSL1,PCDH15,0.5094518343772426
KCNT2,SULF1,0.5093119875939787
FYB2,PRG4,0.5091419799360067
CACNA2D3,PTPRQ,0.5086127790424089
NOSTRIN,LOC124901051,0.5085431450625437
CACNB2,RBFOX1,0.5085070846862035
FYB2,BNC2,0.5084788269275627
ZNF385B,RBM20,0.5084570113180438
SLC4A4,GRIP1,0.5083567100386545
FGF12,RBM20,0.5082265210643107
LOC105379003,MYO18B,0.5081515648878181
CCDC80,ANXA8,0.5079862079780405
RYR2,CADPS,0.5079048820430273
LSAMP,GPM6A,0.5077575017704656
LINC02006,C3,0.5076186704900901
LINC02006,SYT1-AS1,0.5076183633726394
LINC02388,CGNL1,0.5075578035951415
LSAMP,MCTP2,0.507530493573931
SLC19A3,CIDEC,0.5074446436618651
CACNA2D3,ANXA8,0.5071543563030598
ADAMTSL1,TMEM132C,0.5070594455953753
EZR,SEMA3C,0.5069895407806881
KCNT2,C3,0.5069258270130317
LINC02006,RBFOX1,0.5066710981460699
FGF12,MLIP,0.506651848333374
RBFOX1,ZBTB7C,0.5065795393193312
ADAMTSL1,CDH11,0.5062600983098087
CFH,BNC2,0.5061357697379804
SULF1,SLC24A3,0.5060902665750705
MLIP,LINC02248,0.5060433320481194
FYB2,GPM6A,0.5060224029428697
GPAM,GLYAT,0.5059402411497679
PRG4,CACNA2D3,0.5058148403734023
BNC2,ARHGAP44,0.5058098728688206
